Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
kova-mclaren,,,,,,,,Signature Edition,KOVA-MCLAREN-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-mclaren,,,,,,,,Collector's Edition,KOVA-MCLAREN-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
kova-viper-acr,KOVA // VIPER ACR,"<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 7.6"" / 68.6 × 19.3 cm</li><li><strong>Signature Edition</strong> — 37"" × 10.2"" / 94.0 × 25.9 cm</li><li><strong>Collector's Edition</strong> — 47"" × 13"" / 119.4 × 33.0 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-VIPER-ACR-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // VIPER ACR — precision-cut metal artwork,"VIPER ACR silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
kova-viper-acr,,,,,,,,Signature Edition,KOVA-VIPER-ACR-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-viper-acr,,,,,,,,Collector's Edition,KOVA-VIPER-ACR-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
kova-supra-mk5,KOVA // SUPRA MK5,"<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 6.4"" / 68.6 × 16.3 cm</li><li><strong>Signature Edition</strong> — 37"" × 8.6"" / 94.0 × 21.8 cm</li><li><strong>Collector's Edition</strong> — 47"" × 10.8"" / 119.4 × 27.4 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-SUPRA-MK5-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // SUPRA MK5 — precision-cut metal artwork,"SUPRA MK5 silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
kova-supra-mk5,,,,,,,,Signature Edition,KOVA-SUPRA-MK5-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-supra-mk5,,,,,,,,Collector's Edition,KOVA-SUPRA-MK5-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
kova-gt3-rs,KOVA // GT3 RS,"<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 7.6"" / 68.6 × 19.3 cm</li><li><strong>Signature Edition</strong> — 37"" × 10.2"" / 94.0 × 25.9 cm</li><li><strong>Collector's Edition</strong> — 47"" × 13"" / 119.4 × 33.0 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-GT3-RS-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // GT3 RS — precision-cut metal artwork,"GT3 RS silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
kova-gt3-rs,,,,,,,,Signature Edition,KOVA-GT3-RS-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-gt3-rs,,,,,,,,Collector's Edition,KOVA-GT3-RS-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
kova-camaro,KOVA // CAMARO,"<h3>Built from 2 mm stainless steel</h3><p>Precision cut from 2 mm stainless steel for a rigid, substantial construction designed for long-term display. The artwork is fiber-laser cut and finished across the front, back and edges, giving the piece a consistent appearance from every angle.</p><h3>Floats 15 mm from the wall</h3><p>Designed to sit approximately 15 mm away from the wall, creating a subtle floating effect. This stand-off allows light to pass behind the artwork and creates natural shadows that add depth to the silhouette. Each artwork uses a formed metal mounting bracket integrated into the design rather than an externally welded bracket.</p><h3>Sizes</h3><ul><li><strong>Studio Edition</strong> — 27"" × 7.3"" / 68.6 × 18.5 cm</li><li><strong>Signature Edition</strong> — 37"" × 10"" / 94.0 × 25.4 cm</li><li><strong>Collector's Edition</strong> — 47"" × 12.5"" / 119.4 × 31.8 cm · limited to 50 pieces per design</li></ul><h3>Installation</h3><p>Drill the required hole, install the supplied wall plug, and mount the artwork onto the bracket. Due to the weight and dimensions of the larger artworks, we recommend using appropriate wall hardware and ensuring the mounting point is secure before installation.</p>",KOVA,Metal artwork,"drop-001, velocity",TRUE,Edition,Studio Edition,KOVA-CAMARO-S,0,,continue,manual,1999,TRUE,TRUE,,,,FALSE,KOVA // CAMARO — precision-cut metal artwork,"CAMARO silhouette cut from 2 mm stainless steel. Studio, Signature and Collector's editions. Free shipping across India.",active
kova-camaro,,,,,,,,Signature Edition,KOVA-CAMARO-G,0,,continue,manual,2999,TRUE,TRUE,,,,,,,
kova-camaro,,,,,,,,Collector's Edition,KOVA-CAMARO-C,0,,continue,manual,3999,TRUE,TRUE,,,,,,,
